product_id,sale_date,units_sold
28666283,2025-03-14,13
28666283,2025-03-15,12
28666283,2025-03-16,12
28666283,2025-03-17,12
28666283,2025-03-18,14
28666283,2025-03-19,11
28666283,2025-03-20,13
28666283,2025-03-21,14
28666283,2025-03-22,10
28666283,2025-03-23,11
28666283,2025-03-24,12
28666283,2025-03-25,12
28666283,2025-03-26,13
28666283,2025-03-27,13
28666283,2025-03-28,13
28666283,2025-03-29,13
28666283,2025-03-30,11
28666283,2025-03-31,11
28666283,2025-04-01,12
28666283,2025-04-02,12
28666283,2025-04-03,11
28666283,2025-04-04,14
28666283,2025-04-05,11
28666283,2025-04-06,14
28666283,2025-04-07,13
28666283,2025-04-08,12
28666283,2025-04-09,13
28666283,2025-04-10,11
28666283,2025-04-11,13
28666283,2025-04-12,14
28666283,2025-04-13,14
28666283,2025-04-14,13
28666283,2025-04-15,10
28666283,2025-04-16,13
28666283,2025-04-17,12
28666283,2025-04-18,13
28666283,2025-04-19,12
28666283,2025-04-20,11
28666283,2025-04-21,11
28666283,2025-04-22,15
28666283,2025-04-23,13
28666283,2025-04-24,10
28666283,2025-04-25,12
28666283,2025-04-26,12
28666283,2025-04-27,11
28666283,2025-04-28,13
28666283,2025-04-29,13
28666283,2025-04-30,13
28666283,2025-05-01,14
28666283,2025-05-02,12
28666283,2025-05-03,11
28666283,2025-05-04,10
28666283,2025-05-05,13
28666283,2025-05-06,13
28666283,2025-05-07,13
28666283,2025-05-08,14
28666283,2025-05-09,13
28666283,2025-05-10,12
28666283,2025-05-11,12
28666283,2025-05-12,12
28666283,2025-05-13,13
28666283,2025-05-14,14
28666283,2025-05-15,14
28666283,2025-05-16,12
28666283,2025-05-17,13
28666283,2025-05-18,12
28666283,2025-05-19,13
28666283,2025-05-20,14
28666283,2025-05-21,8
28666283,2025-05-22,13
28666283,2025-05-23,10
28666283,2025-05-24,11
28666283,2025-05-25,11
28666283,2025-05-26,14
28666283,2025-05-27,10
28666283,2025-05-28,12
28666283,2025-05-29,14
28666283,2025-05-30,13
28666283,2025-05-31,15
28666283,2025-06-01,12
28666283,2025-06-02,14
28666283,2025-06-03,12
28666283,2025-06-04,13
28666283,2025-06-05,13
28666283,2025-06-06,14
28666283,2025-06-07,11
28666283,2025-06-08,12
28666283,2025-06-09,15
28666283,2025-06-10,12
28666283,2025-06-11,11
28666283,2025-06-12,11
28666283,2025-06-13,13
28666283,2025-06-14,13
28666283,2025-06-15,12
28666283,2025-06-16,11
28666283,2025-06-17,11
28666283,2025-06-18,13
28666283,2025-06-19,13
28666283,2025-06-20,15
28666283,2025-06-21,17
28666283,2025-06-22,16
28666283,2025-06-23,16
28666283,2025-06-24,15
28666283,2025-06-25,16
28666283,2025-06-26,17
28666283,2025-06-27,16
28666283,2025-06-28,13
28666283,2025-06-29,18
28666283,2025-06-30,18
28666283,2025-07-01,15
28666283,2025-07-02,19
28666283,2025-07-03,17
28666283,2025-07-04,19
28666283,2025-07-05,21
28666283,2025-07-06,18
28666283,2025-07-07,15
28666283,2025-07-08,17
28666283,2025-07-09,20
28666283,2025-07-10,21
28666283,2025-07-11,18
28666283,2025-07-12,18
28666283,2025-07-13,18
28666283,2025-07-14,19
28666283,2025-07-15,27
28666283,2025-07-16,25
28666283,2025-07-17,24
28666283,2025-07-18,22
28666283,2025-07-19,29
28666283,2025-07-20,29
28666283,2025-07-21,22
28666283,2025-07-22,27
28666283,2025-07-23,30
28666283,2025-07-24,29
28666283,2025-07-25,27
28666283,2025-07-26,31
28666283,2025-07-27,31
28666283,2025-07-28,32
28666283,2025-07-29,28
28666283,2025-07-30,33
28666283,2025-07-31,32
28666283,2025-08-01,34
28666283,2025-08-02,34
28666283,2025-08-03,38
28666283,2025-08-04,37
28666283,2025-08-05,42
28666283,2025-08-06,41
28666283,2025-08-07,39
28666283,2025-08-08,40
28666283,2025-08-09,45
28666283,2025-08-10,41
28666283,2025-08-11,38
28666283,2025-08-12,36
28666283,2025-08-13,38
28666283,2025-08-14,40
28666283,2025-08-15,41
28666283,2025-08-16,48
28666283,2025-08-17,47
28666283,2025-08-18,43
28666283,2025-08-19,44
28666283,2025-08-20,41
28666283,2025-08-21,42
28666283,2025-08-22,51
28666283,2025-08-23,43
28666283,2025-08-24,50
28666283,2025-08-25,52
28666283,2025-08-26,51
28666283,2025-08-27,53
28666283,2025-08-28,41
28666283,2025-08-29,52
28666283,2025-08-30,42
28666283,2025-08-31,46
28666283,2025-09-01,53
28666283,2025-09-02,43
28666283,2025-09-03,42
28666283,2025-09-04,46
28666283,2025-09-05,43
28666283,2025-09-06,47
28666283,2025-09-07,47
28666283,2025-09-08,48
28666283,2025-09-09,40
28666283,2025-09-10,41
28666283,2025-09-11,53
